Latitude,Longitude,ciudad_o_pais
10.3,-84.366,Platanar
10.2,-84.233,Poas
10.83,-85.324,Rincon de la Vieja
10.673,-85.015,Tenorio
10.025,-83.767,Turrialba
-9.62,150.88,Dawson Strait Group
-9.358,150.246,Goodenough
-9.506,150.524,Iamalele
-0.53,-78.0,Aliso
-0.481,-78.141,Antisana
-0.353,-78.617,Atacazo
0.029,-77.986,Cayambe
-0.375,-78.25,Chacana
0.468,-78.287,Chachimbiro
-1.469,-78.817,Chimborazo
-0.677,-78.436,Cotopaxi
0.308,-78.364,Cuicocha
-0.171,-78.598,Guagua Pichincha
-0.662,-78.716,Iliniza
0.258,-78.183,Imbabura
-1.786,-78.614,Licto
0.13,-78.27,Mojanda
0.046,-78.49,Pululahua
-0.859,-78.904,Quilotoa
-0.077,-77.656,Reventador
-2.005,-78.341,Sangay
0.552,-77.58,Soche
-0.538,-77.626,Sumaco
-1.467,-78.442,Tungurahua
13.872,-89.742,Apaneca Range
13.72,-88.77,Apastepeque Field
13.428,-88.105,"Aramuaca, Laguna"
13.478,-88.33,Chinameca
14.02,-89.25,"Cinotepeque, Cerro"
13.87,-89.55,Coatepeque Caldera
13.277,-87.853,Conchagua
13.22,-87.765,Conchaguita
13.9,-89.12,Guazapa
13.672,-89.053,Ilopango
13.813,-89.633,Izalco
14.27,-89.48,San Diego
13.853,-89.63,San Marcelino
13.434,-88.269,San Miguel
13.734,-89.294,San Salvador
13.595,-88.837,San Vicente
13.853,-89.63,Santa Ana
14.054,-89.631,"Singuil, Cerro"
13.435,-88.532,Taburete
13.494,-88.502,Tecapa
13.47,-88.43,"Tigre, El"
13.419,-88.471,Usulutan
11.75,41.48,Manda Gargori
-17.32,179.4,Koro
-19.118,177.982,Nabukelevu
-16.841,-179.964,Taveuni
45.786,2.981,Chaine des Puys
-0.43,-91.12,Alcedo
-0.92,-91.408,"Azul, Cerro"
-0.18,-91.28,Darwin
-0.02,-91.546,Ecuador
-0.37,-91.55,Fernandina
0.32,-89.958,Genovesa
0.33,-90.47,Marchena
-0.83,-91.17,"Negra, Sierra"
0.58,-90.75,Pinta
-0.88,-89.5,San Cristobal
-0.62,-90.33,Santa Cruz
-0.22,-90.77,Santiago
0.02,-91.35,Wolf
42.55,44.0,Kabargin Oth Group
42.7,44.5,Kazbek
41.542,43.7,Samsari Volcanic Center
42.45,44.25,Unnamed
50.17,6.85,West Eifel Volcanic Field
37.619,23.333,Methana
36.699,24.439,Milos
36.589,27.155,Nisyros
36.404,25.396,Santorini
36.671,27.14,Yali
14.501,-90.876,Acatenango
14.465,-90.743,Agua
14.797,-91.519,Almolonga
14.583,-91.186,Atitlan
14.12,-89.73,Chingo
14.83,-89.55,Chiquimula Volcanic Field
14.33,-90.4,Cuilapa-Barbarena
14.308,-89.992,Flores
14.473,-90.88,Fuego
14.55,-89.63,Ipala
14.42,-89.68,Ixtepeque
14.34,-90.271,Jumaytepeque
14.03,-90.1,Moyuta
14.382,-90.601,Pacaya
14.57,-89.45,Quezaltepeque
14.757,-91.552,Santa Maria
14.33,-89.87,"Santiago, Cerro"
14.4,-89.78,Suchitan
14.43,-89.9,Tahual
15.043,-91.903,Tajumulco
14.156,-90.407,Tecuamburro
14.612,-91.189,Toliman
-0.525,127.496,Amasing
-0.761,127.725,Bibinoi
1.699,127.878,Dukono
0.81,127.332,Gamalama
1.38,127.53,Gamkonora
0.9,127.32,Hiri
1.488,127.63,Ibu
1.08,127.439,Jailolo
0.32,127.4,Kie Besi
0.662,127.403,Kie Matubu
0.57,127.4,Mare
0.454,127.411,Moti
1.832,127.825,Tarakan
0.07,127.42,Tigalalu
1.63,127.67,Tobaru
1.239,127.456,Todoko-Ranu
20.708,-156.25,Haleakala
19.692,-155.87,Hualalai
18.92,-155.27,Kama'ehuakanaloa
19.421,-155.287,Kilauea
19.82,-155.47,Mauna Kea
19.475,-155.608,Mauna Loa
21.75,-158.75,Unnamed
23.58,-163.83,Unnamed
43.384,144.013,Akan
41.805,141.166,Esan
42.063,140.677,Hokkaido-Komagatake
43.615,144.427,Kussharo
42.491,141.16,Kuttara
43.572,144.561,Mashu
42.875,140.659,Niseko
41.51,139.367,Oshima-Oshima
44.076,145.122,Rausudake
45.179,141.242,Rishirizan
43.28,143.08,Shikaribetsu Group
42.688,141.38,Shikotsu
44.133,145.161,Shiretoko-Iozan
43.664,142.854,Taisetsuzan
44.044,145.086,Tenchozan
43.418,142.686,Tokachidake
42.544,140.839,Toya
42.827,140.812,Yoteizan
13.274,-87.639,"Tigre, Isla del"
16.1,-86.9,Utila Island
14.964,-87.983,"Yojoa, Lago"
13.33,-87.63,"Zacate Grande, Isla"
34.483,131.517,Abu
37.647,140.281,Adatarayama
36.56,139.193,Akagisan
36.2,137.573,Akandanayama
39.761,140.799,Akita-Komagatake
39.964,140.757,Akita-Yakeyama
36.406,138.523,Asamayama
37.735,140.244,Azumayama
37.601,140.072,Bandaisan
39.099,140.049,Chokaisan
35.361,138.728,Fujisan
39.958,140.854,Hachimantai
40.659,140.877,Hakkodasan
35.233,139.021,Hakoneyama
